"Target","Side","Case","Cells","Values","Weights","Topology","Compatibility","Trace","Repeat","ElapsedMs","MinimumMs","MaximumMs","Decisions","Propagations","Backtracks","Contradictions","TraceEvents","RngDraws","AssignmentChecksum"
"stable64","candidate","independent-4096-v2-skewed-t1","4096","2","skewed","independent","dense","1","1","0","0","0","4096","0","0","0","8193","4096","7E32947B"
"stable64","baseline","independent-4096-v2-skewed-t1","4096","2","skewed","independent","dense","1","1","1391","1391","1391","4096","0","0","0","8193","4096","7E32947B"
"stable64","baseline","independent-4096-v4-unit-t0","4096","4","unit","independent","dense","0","1","203","203","203","4096","0","0","0","0","4096","49850E08"
"stable64","candidate","independent-4096-v4-unit-t0","4096","4","unit","independent","dense","0","1","16","16","16","4096","0","0","0","0","4096","49850E08"
"stable64","candidate","independent-4096-v4-unit-t1","4096","4","unit","independent","dense","1","1","15","15","15","4096","0","0","0","16385","4096","49850E08"
"stable64","baseline","independent-4096-v4-unit-t1","4096","4","unit","independent","dense","1","1","187","187","187","4096","0","0","0","16385","4096","49850E08"
"stable64","baseline","independent-4096-v4-skewed-t0","4096","4","skewed","independent","dense","0","1","1421","1421","1421","4096","0","0","0","0","4096","7F5B7EBE"
"stable64","candidate","independent-4096-v4-skewed-t0","4096","4","skewed","independent","dense","0","1","16","16","16","4096","0","0","0","0","4096","7F5B7EBE"
"stable64","candidate","independent-4096-v4-skewed-t1","4096","4","skewed","independent","dense","1","1","0","0","0","4096","0","0","0","16385","4096","7F5B7EBE"
"stable64","baseline","independent-4096-v4-skewed-t1","4096","4","skewed","independent","dense","1","1","1343","1343","1343","4096","0","0","0","16385","4096","7F5B7EBE"
"stable64","baseline","independent-16384-v2-unit-t0","16384","2","unit","independent","dense","0","1","1281","1281","1281","16384","0","0","0","0","16384","677C1540"
"stable64","candidate","independent-16384-v2-unit-t0","16384","2","unit","independent","dense","0","1","31","31","31","16384","0","0","0","0","16384","677C1540"
"stable64","candidate","independent-16384-v2-unit-t1","16384","2","unit","independent","dense","1","1","15","15","15","16384","0","0","0","32769","16384","677C1540"
"stable64","baseline","independent-16384-v2-unit-t1","16384","2","unit","independent","dense","1","1","1297","1297","1297","16384","0","0","0","32769","16384","677C1540"
"stable64","baseline","independent-16384-v2-skewed-t0","16384","2","skewed","independent","dense","0","1","20797","20797","20797","16384","0","0","0","0","16384","4C57DF70"
"stable64","candidate","independent-16384-v2-skewed-t0","16384","2","skewed","independent","dense","0","1","31","31","31","16384","0","0","0","0","16384","4C57DF70"
"stable64","candidate","independent-16384-v2-skewed-t1","16384","2","skewed","independent","dense","1","1","31","31","31","16384","0","0","0","32769","16384","4C57DF70"
"stable64","baseline","independent-16384-v2-skewed-t1","16384","2","skewed","independent","dense","1","1","20829","20829","20829","16384","0","0","0","32769","16384","4C57DF70"
"stable64","baseline","independent-16384-v4-unit-t0","16384","4","unit","independent","dense","0","1","1281","1281","1281","16384","0","0","0","0","16384","6266E2CF"
"stable64","candidate","independent-16384-v4-unit-t0","16384","4","unit","independent","dense","0","1","47","47","47","16384","0","0","0","0","16384","6266E2CF"
"stable64","candidate","independent-16384-v4-unit-t1","16384","4","unit","independent","dense","1","1","31","31","31","16384","0","0","0","65537","16384","6266E2CF"
"stable64","baseline","independent-16384-v4-unit-t1","16384","4","unit","independent","dense","1","1","1328","1328","1328","16384","0","0","0","65537","16384","6266E2CF"
"stable64","baseline","independent-16384-v4-skewed-t0","16384","4","skewed","independent","dense","0","1","21141","21141","21141","16384","0","0","0","0","16384","29DB05F0"
"stable64","candidate","independent-16384-v4-skewed-t0","16384","4","skewed","independent","dense","0","1","31","31","31","16384","0","0","0","0","16384","29DB05F0"
"stable64","candidate","independent-16384-v4-skewed-t1","16384","4","skewed","independent","dense","1","1","31","31","31","16384","0","0","0","65537","16384","29DB05F0"
"stable64","baseline","independent-16384-v4-skewed-t1","16384","4","skewed","independent","dense","1","1","20875","20875","20875","16384","0","0","0","65537","16384","29DB05F0"
"stable64","baseline","tiny-1-unit-t0","1","4","unit","independent","dense","0","1000","16","0","16","1","0","0","0","0","1","197DAD2E"
"stable64","candidate","tiny-1-unit-t0","1","4","unit","independent","dense","0","1000","0","0","0","1","0","0","0","0","1","197DAD2E"
"stable64","candidate","tiny-1-unit-t1","1","4","unit","independent","dense","1","1000","0","0","0","1","0","0","0","5","1","197DAD2E"
"stable64","baseline","tiny-1-unit-t1","1","4","unit","independent","dense","1","1000","16","0","16","1","0","0","0","5","1","197DAD2E"
"stable64","baseline","tiny-1-skewed-t0","1","4","skewed","independent","dense","0","1000","0","0","0","1","0","0","0","0","1","197DAD2E"
"stable64","candidate","tiny-1-skewed-t0","1","4","skewed","independent","dense","0","1000","16","0","16","1","0","0","0","0","1","197DAD2E"
"stable64","candidate","tiny-1-skewed-t1","1","4","skewed","independent","dense","1","1000","0","0","0","1","0","0","0","5","1","197DAD2E"
"stable64","baseline","tiny-1-skewed-t1","1","4","skewed","independent","dense","1","1000","16","0","16","1","0","0","0","5","1","197DAD2E"
"stable64","baseline","tiny-8-unit-t0","8","4","unit","independent","dense","0","1000","16","0","16","8","0","0","0","0","8","039C3E5A"
"stable64","candidate","tiny-8-unit-t0","8","4","unit","independent","dense","0","1000","15","0","15","8","0","0","0","0","8","039C3E5A"
"stable64","candidate","tiny-8-unit-t1","8","4","unit","independent","dense","1","1000","16","0","16","8","0","0","0","33","8","039C3E5A"
"stable64","baseline","tiny-8-unit-t1","8","4","unit","independent","dense","1","1000","31","0","16","8","0","0","0","33","8","039C3E5A"
"stable64","baseline","tiny-8-skewed-t0","8","4","skewed","independent","dense","0","1000","16","0","16","8","0","0","0","0","8","21E08CBA"
"stable64","candidate","tiny-8-skewed-t0","8","4","skewed","independent","dense","0","1000","16","0","16","8","0","0","0","0","8","21E08CBA"
"stable64","candidate","tiny-8-skewed-t1","8","4","skewed","independent","dense","1","1000","16","0","16","8","0","0","0","33","8","21E08CBA"
"stable64","baseline","tiny-8-skewed-t1","8","4","skewed","independent","dense","1","1000","0","0","0","8","0","0","0","33","8","21E08CBA"
"stable64","baseline","tiny-32-unit-t0","32","4","unit","independent","dense","0","1000","47","0","16","32","0","0","0","0","32","549E8343"
"stable64","candidate","tiny-32-unit-t0","32","4","unit","independent","dense","0","1000","62","0","16","32","0","0","0","0","32","549E8343"
"stable64","candidate","tiny-32-unit-t1","32","4","unit","independent","dense","1","1000","47","0","16","32","0","0","0","129","32","549E8343"
"stable64","baseline","tiny-32-unit-t1","32","4","unit","independent","dense","1","1000","63","0","16","32","0","0","0","129","32","549E8343"
"stable64","baseline","tiny-32-skewed-t0","32","4","skewed","independent","dense","0","1000","125","0","16","32","0","0","0","0","32","494C78DA"
"stable64","candidate","tiny-32-skewed-t0","32","4","skewed","independent","dense","0","1000","63","0","16","32","0","0","0","0","32","494C78DA"
"stable64","candidate","tiny-32-skewed-t1","32","4","skewed","independent","dense","1","1000","63","0","16","32","0","0","0","129","32","494C78DA"
"stable64","baseline","tiny-32-skewed-t1","32","4","skewed","independent","dense","1","1000","141","0","16","32","0","0","0","129","32","494C78DA"
"stable64","baseline","line-256-v64-unit-dense","256","64","unit","line","dense","0","1","0","0","0","256","0","0","0","0","256","1315BA0A"
"stable64","candidate","line-256-v64-unit-dense","256","64","unit","line","dense","0","1","16","16","16","256","0","0","0","0","256","1315BA0A"
"stable64","candidate","line-256-v64-unit-equal","256","64","unit","line","equal","0","1","15","15","15","1","16065","0","0","0","1","0B7FDD71"
"stable64","baseline","line-256-v64-unit-equal","256","64","unit","line","equal","0","1","31","31","31","1","16065","0","0","0","1","0B7FDD71"
"stable64","baseline","line-256-v64-skewed-dense","256","64","skewed","line","dense","0","1","15","15","15","256","0","0","0","0","256","0D426824"
"stable64","candidate","line-256-v64-skewed-dense","256","64","skewed","line","dense","0","1","0","0","0","256","0","0","0","0","256","0D426824"
"stable64","candidate","line-256-v64-skewed-equal","256","64","skewed","line","equal","0","1","31","31","31","1","16065","0","0","0","1","4FAFC258"
"stable64","baseline","line-256-v64-skewed-equal","256","64","skewed","line","equal","0","1","16","16","16","1","16065","0","0","0","1","4FAFC258"
"stable64","baseline","line-128-v128-unit-dense","128","128","unit","line","dense","0","1","15","15","15","128","0","0","0","0","128","77963F66"
"stable64","candidate","line-128-v128-unit-dense","128","128","unit","line","dense","0","1","0","0","0","128","0","0","0","0","128","77963F66"
"stable64","candidate","line-128-v128-unit-equal","128","128","unit","line","equal","0","1","31","31","31","1","16129","0","0","0","1","23A9CCB7"
"stable64","baseline","line-128-v128-unit-equal","128","128","unit","line","equal","0","1","31","31","31","1","16129","0","0","0","1","23A9CCB7"
"stable64","baseline","line-128-v128-skewed-dense","128","128","skewed","line","dense","0","1","15","15","15","128","0","0","0","0","128","7A73D3E1"
"stable64","candidate","line-128-v128-skewed-dense","128","128","skewed","line","dense","0","1","0","0","0","128","0","0","0","0","128","7A73D3E1"
"stable64","candidate","line-128-v128-skewed-equal","128","128","skewed","line","equal","0","1","31","31","31","1","16129","0","0","0","1","15CD29A3"
"stable64","baseline","line-128-v128-skewed-equal","128","128","skewed","line","equal","0","1","47","47","47","1","16129","0","0","0","1","15CD29A3"
"stable64","baseline","line-64-v512-unit-dense","64","512","unit","line","dense","0","1","47","47","47","64","0","0","0","0","64","2AF2A909"
"stable64","candidate","line-64-v512-unit-dense","64","512","unit","line","dense","0","1","46","46","46","64","0","0","0","0","64","2AF2A909"
"stable64","candidate","line-64-v512-unit-equal","64","512","unit","line","equal","0","1","250","250","250","1","32193","0","0","0","1","4370B196"
"stable64","baseline","line-64-v512-unit-equal","64","512","unit","line","equal","0","1","297","297","297","1","32193","0","0","0","1","4370B196"
"stable64","baseline","line-64-v512-skewed-dense","64","512","skewed","line","dense","0","1","79","79","79","64","0","0","0","0","64","73E2E55A"
"stable64","candidate","line-64-v512-skewed-dense","64","512","skewed","line","dense","0","1","62","62","62","64","0","0","0","0","64","73E2E55A"
"stable64","candidate","line-64-v512-skewed-equal","64","512","skewed","line","equal","0","1","250","250","250","1","32193","0","0","0","1","72916B27"
"stable64","baseline","line-64-v512-skewed-equal","64","512","skewed","line","equal","0","1","281","281","281","1","32193","0","0","0","1","72916B27"
"stable64","baseline","line-16-v1024-unit-dense","16","1024","unit","line","dense","0","1","47","47","47","16","0","0","0","0","16","3B3E68EA"
"stable64","candidate","line-16-v1024-unit-dense","16","1024","unit","line","dense","0","1","32","32","32","16","0","0","0","0","16","3B3E68EA"
"stable64","candidate","line-16-v1024-unit-equal","16","1024","unit","line","equal","0","1","234","234","234","1","15345","0","0","0","1","761EB18A"
"stable64","baseline","line-16-v1024-unit-equal","16","1024","unit","line","equal","0","1","281","281","281","1","15345","0","0","0","1","761EB18A"
"stable64","baseline","line-16-v1024-skewed-dense","16","1024","skewed","line","dense","0","1","78","78","78","16","0","0","0","0","16","57086246"
"stable64","candidate","line-16-v1024-skewed-dense","16","1024","skewed","line","dense","0","1","47","47","47","16","0","0","0","0","16","57086246"
"stable64","candidate","line-16-v1024-skewed-equal","16","1024","skewed","line","equal","0","1","234","234","234","1","15345","0","0","0","1","58D6A1F6"
