"Case","Seed","Portal","RequireAllParticipants","RepairTo","MaxBacktracks","MaxPassBacktracks","CurrentExitCode","StableExitCode","ExactByteMatch","Signature","SvgBytes","SvgSHA256","WitnessCells","Participants","DisconnectedOptional","PassBacktracks"
"circulation","1","first","1","","4096","32","0","0","1","B0F2CE16","11362","7E484CBEE2FB4209D75CC281A9D634152FD717B38A2C1D544F416B19EC7973DF","10","19","0","0"
"circulation","1","first","0","","4096","32","0","0","1","8EF6585F","10111","189A0162E49CFCEE26F11CBA360703E4BBE07674A20F0A55624A0FCB73BAC894","10","19","7","0"
"circulation","1","second","1","","4096","32","0","0","1","0161F9CE","12677","FD3FBAA3FCB8C22B95D7C2A5733707A5FF690D71168771964A0504C200406EEC","10","24","0","0"
"circulation","1","second","0","","4096","32","0","0","1","F6D3A7E1","9627","D66BCDCB396A3086697193AF65CE43788F4F4FA5CCE7F7C13FE7D7E97C975199","10","18","7","0"
"circulation","1","both","1","","4096","32","0","0","1","24E81934","11617","04DA59E0B0716641C5155698291D97952222276CFF60D6988996A882AC053C70","10","20","0","0"
"circulation","1","both","0","","4096","32","0","0","1","55615688","9528","A23E5F5BD80815EAC6CF10A300072C11152C9CEA5390AD3BACFAE66DC1448C5E","10","16","5","0"
"circulation","55","first","1","","4096","32","0","0","1","29E86720","10052","E662570BA9CC2DB574C31D07FEFBEB5930B2F3F8853B2EA399164A3557AC20D3","10","14","0","0"
"circulation","55","first","0","","4096","32","0","0","1","FDA0CCAF","9219","E182AFA6C7BE25B141323D05D6817CC39641926C6E9170A1538E581C85C25D07","10","14","4","0"
"circulation","55","second","1","","4096","32","0","0","1","EE46BEAD","11630","2067D038D81C9123892444026487B2AD346929ACA3FE4FB8F39C1D70D3DAE52C","10","20","0","0"
"circulation","55","second","0","","4096","32","0","0","1","2441DD49","9260","B305177514A6C692EEB1391D6BFAC56366F0E7B5F2DF99F136F042B9D1AE37BD","10","15","5","0"
"circulation","55","both","1","","4096","32","0","0","1","DC459A0D","10044","21AA6AAAAFD93FB728C60CEFE49194BD77AA1143FA4EDE27E733A98530615E72","10","14","0","0"
"circulation","55","both","0","","4096","32","0","0","1","5F5B6891","9209","58D8C69A25D0E8C4519EDFDCCAF0D0FCA91BC109AC585043E11B94695E09FC65","10","14","4","0"
"circulation","4294967295","first","1","","4096","32","0","0","1","B03DCE3D","9793","4E00601731D5B334F6A7335A2D65919C856780EDF0C6AABE4DE4D6CC2261758A","10","13","0","0"
"circulation","4294967295","first","0","","4096","32","0","0","1","161873EA","9167","BAA4141C60C4955607A76A9E5A170D9CAEFDDA81E52B9ED396A533C504678B22","10","13","3","0"
"circulation","4294967295","second","1","","4096","32","0","0","1","450EE818","10302","5BCE26446277147CD11660235F560B9F94248E15BB9F0A5F1D4E0C08D7C480FE","10","15","0","0"
"circulation","4294967295","second","0","","4096","32","0","0","1","796AA03B","9418","AE769697B5C7975F6EF7296E4306FA3398C484CF5B6F574C0594FB6CADE7639D","10","14","3","0"
"circulation","4294967295","both","1","","4096","32","0","0","1","83C37419","10311","3D2EFF005E520FF1571D8F2AD697FD02CC15E31435315B7A165E1F1C120C935F","10","15","0","0"
"circulation","4294967295","both","0","","4096","32","0","0","1","D762F8C1","9421","9D025C3BF8E20D5981AE2EFB5DC6EB962BAF723A534049F3ABAE5DD0BB332E8F","10","14","4","0"
"circulation","0","first","1","second","4096","32","0","0","1","47E47400","12418","725DA7E565E263EC11064DB578AB224085241EC3CB202440313368787F764EE1","10","23","0","0"
